lemma,lemma_freq,gloss,form,stressed_syll,monosyll,case,number,short_cluster,full_cluster,noep,ep
бдительность,1214,vigilance,бди'тельности,1,FALSE,dat,sg,бд,бд,30,0
благо,11163,good,бла'гу,1,FALSE,dat,sg,бл,бл,87,92
благо,11163,good,бла'гам,1,FALSE,dat,pl,бл,бл,31,1
благополучие,3377,well-being,благополу'чию,4,FALSE,dat,sg,бл,бл,64,1
благородный,10215,noble,благоро'дному,3,FALSE,dat,sg,бл,бл,33,0
блаженство,2936,bliss,блаже'нству,2,FALSE,dat,sg,бл,бл,40,4
ближний,7812,Middle,бли'жнему,1,FALSE,dat,sg,бл,бл,502,10
ближний,7812,Middle,бли'жним,1,FALSE,dat,pl,бл,бл,139,2
блок,10698,block,бло'ку,1,FALSE,dat,sg,бл,бл,71,0
брак,9704,marriage,бра'ку,1,FALSE,dat,sg,бр,бр,89,2
брат,51519,brother,бра'ту,1,FALSE,dat,sg,бр,бр,704,1
брат,51519,brother,бра'тьям,1,FALSE,dat,pl,бр,бр,121,0
братец,6780,my boy,бра'тцу,1,FALSE,dat,sg,бр,бр,24,0
бревно,4240,log,бревну',2,FALSE,dat,sg,бр,бр,31,0
бревно,4240,log,брёвнам,1,FALSE,dat,pl,бр,бр,23,0
бригадир,2686,foreman,бригади'ру,3,FALSE,dat,sg,бр,бр,34,0
бросок,1110,throw,броску',2,FALSE,dat,sg,бр,бр,23,0
введение,6573,Introduction,введе'нию,2,FALSE,dat,sg,вв,вв,65,9
взаимодействие,8159,interaction,взаимоде'йствию,4,FALSE,dat,sg,вз,вз,30,0
взгляд,52915,view,взгля'дам,1,FALSE,dat,pl,вз,взгл,21,7
взрослый,12467,adult,взро'слому,1,FALSE,dat,sg,вз,взр,37,4
взрослый,12467,adult,взро'слым,1,FALSE,dat,pl,вз,взр,50,16
взрыв,8852,explosion,взры'ву,1,FALSE,dat,sg,вз,взр,112,5
взрыв,8852,explosion,взры'вам,1,FALSE,dat,pl,вз,взр,28,5
включение,2628,inclusion,включе'нию,2,FALSE,dat,sg,вк,вкл,23,2
владелец,8626,owner,владе'льцу,2,FALSE,dat,sg,вл,вл,32,0
владелец,8626,owner,владе'льцам,2,FALSE,dat,pl,вл,вл,28,0
власть,67217,power,властя'м,2,FALSE,dat,pl,вл,вл,142,1
влияние,24926,influence,влия'нию,2,FALSE,dat,sg,вл,вл,27,2
внедрение,3310,introduction,внедре'нию,2,FALSE,dat,sg,вн,вн,58,0
внимание,49696,attention,внима'нию,2,FALSE,dat,sg,вн,вн,38,9
внук,5545,grandson,вну'ку,1,FALSE,dat,sg,вн,вн,39,5
внук,5545,grandson,вну'кам,1,FALSE,dat,pl,вн,вн,25,2
враг,25625,enemy,врагу',2,FALSE,dat,sg,вр,вр,136,12
враг,25625,enemy,врага'м,2,FALSE,dat,pl,вр,вр,194,7
врач,23717,doctor,врачу',2,FALSE,dat,sg,вр,вр,884,26
врач,23717,doctor,врача'м,2,FALSE,dat,pl,вр,вр,211,1
вред,5542,harm,вреду',2,FALSE,dat,sg,вр,вр,4,75
время,349141,time,времена'м,3,FALSE,dat,pl,вр,вр,72,77
вступление,4786,entry,вступле'нию,2,FALSE,dat,sg,вс,вст,82,13
