lemma,lemma_freq,gloss,form,stressed_syll,monosyll,case,number,short_cluster,full_cluster,noep,ep
бдительность,1214,vigilance,бди'тельности,1,FALSE,dat,sg,бд,бд,30,0
бдительность,1214,vigilance,бди'тельностям,1,FALSE,dat,pl,бд,бд,0,0
благо,11163,good,бла'гу,1,FALSE,dat,sg,бл,бл,87,92
благо,11163,good,бла'гам,1,FALSE,dat,pl,бл,бл,31,1
благодарность,6900,thanks,благода'рности,3,FALSE,dat,sg,бл,бл,11,0
благодарность,6900,thanks,благода'рностям,3,FALSE,dat,pl,бл,бл,0,0
благодать,3261,grace,благода'ти,3,FALSE,dat,sg,бл,бл,7,0
благодать,3261,grace,благода'тям,3,FALSE,dat,pl,бл,бл,0,0
благодетель,1976,benefactor,благоде'телю,3,FALSE,dat,sg,бл,бл,9,0
благодетель,1976,benefactor,благоде'телям,3,FALSE,dat,pl,бл,бл,4,0
благополучие,3377,well-being,благополу'чию,4,FALSE,dat,sg,бл,бл,64,1
благополучие,3377,well-being,благополу'чиям,4,FALSE,dat,pl,бл,бл,0,0
благородный,10215,noble,благоро'дному,3,FALSE,dat,sg,бл,бл,33,0
благородный,10215,noble,благоро'дным,3,FALSE,dat,pl,бл,бл,16,0
благородство,1899,nobility,благоро'дству,3,FALSE,dat,sg,бл,бл,13,0
благородство,1899,nobility,благоро'дствам,3,FALSE,dat,pl,бл,бл,0,0
благосостояние,2032,welfare,благосостоя'нию,5,FALSE,dat,sg,бл,бл,14,2
благосостояние,2032,welfare,благосостоя'ниям,5,FALSE,dat,pl,бл,бл,0,0
блаженство,2936,bliss,блаже'нству,2,FALSE,dat,sg,бл,бл,40,4
блаженство,2936,bliss,блаже'нствам,2,FALSE,dat,pl,бл,бл,2,0
бланк,1549,form,бла'нку,1,FALSE,dat,sg,бл,бл,2,0
бланк,1549,form,бла'нкам,1,FALSE,dat,pl,бл,бл,3,0
бледность,725,pallor,бле'дности,1,FALSE,dat,sg,бл,бл,0,0
бледность,725,pallor,бле'дностям,1,FALSE,dat,pl,бл,бл,0,0
ближний,7812,Middle,бли'жнему,1,FALSE,dat,sg,бл,бл,502,10
ближний,7812,Middle,бли'жним,1,FALSE,dat,pl,бл,бл,139,2
близнец,1480,twin,близнецу',3,FALSE,dat,sg,бл,бл,0,0
близнец,1480,twin,близнеца'м,3,FALSE,dat,pl,бл,бл,3,0
близость,4832,proximity,бли'зости,1,FALSE,dat,sg,бл,бл,20,0
близость,4832,proximity,бли'зостям,1,FALSE,dat,pl,бл,бл,0,0
блик,770,hotspot,бли'ку,1,FALSE,dat,sg,бл,бл,1,0
блик,770,hotspot,бли'кам,1,FALSE,dat,pl,бл,бл,0,0
блин,2776,pancake,блину',2,FALSE,dat,sg,бл,бл,0,0
блин,2776,pancake,блина'м,2,FALSE,dat,pl,бл,бл,10,0
блиндаж,1022,dugout,блиндажу',3,FALSE,dat,sg,бл,бл,16,0
блиндаж,1022,dugout,блиндажа'м,3,FALSE,dat,pl,бл,бл,1,0
блок,10698,block,бло'ку,1,FALSE,dat,sg,бл,бл,71,0
блок,10698,block,бло'кам,1,FALSE,dat,pl,бл,бл,11,0
блокнот,1515,notebook,блокно'ту,2,FALSE,dat,sg,бл,бл,4,0
блокнот,1515,notebook,блокно'там,2,FALSE,dat,pl,бл,бл,0,0
блокпост,225,blockhouse,бло`кпо'сту,2,FALSE,dat,sg,бл,бл,0,0
блокпост,225,blockhouse,бло`кпо'стам,2,FALSE,dat,pl,бл,бл,0,0
блондин,835,blond,блонди'ну,2,FALSE,dat,sg,бл,бл,5,0
блондин,835,blond,блонди'нам,2,FALSE,dat,pl,бл,бл,1,0
блюдечко,762,limpet,блю'дечку,1,FALSE,dat,sg,бл,бл,6,0
блюдечко,762,limpet,блю'дечкам,1,FALSE,dat,pl,бл,бл,1,0
блюдо,5304,dish,блю'ду,1,FALSE,dat,sg,бл,бл,14,0
блюдо,5304,dish,блю'дам,1,FALSE,dat,pl,бл,бл,7,0
блюдце,780,saucer,блю'дцу,1,FALSE,dat,sg,бл,бл,5,0
блюдце,780,saucer,блю'дцам,1,FALSE,dat,pl,бл,бл,0,0
брак,9704,marriage,бра'ку,1,FALSE,dat,sg,бр,бр,89,2
брак,9704,marriage,бра'кам,1,FALSE,dat,pl,бр,бр,7,0
брань,2273,abuse,бра'ни,1,FALSE,dat,sg,бр,бр,15,0
брань,2273,abuse,бра'ням,1,FALSE,dat,pl,бр,бр,0,0
браслет,1116,bracelet,брасле'ту,2,FALSE,dat,sg,бр,бр,2,0
браслет,1116,bracelet,брасле'там,2,FALSE,dat,pl,бр,бр,0,0
брат,51519,brother,бра'ту,1,FALSE,dat,sg,бр,бр,704,1
брат,51519,brother,бра'тьям,1,FALSE,dat,pl,бр,бр,121,0
братец,6780,my boy,бра'тцу,1,FALSE,dat,sg,бр,бр,24,0
братец,6780,my boy,бра'тцам,1,FALSE,dat,pl,бр,бр,1,0
браток,582,bub,братку',2,FALSE,dat,sg,бр,бр,1,0
браток,582,bub,братка'м,2,FALSE,dat,pl,бр,бр,1,0
братство,2282,fraternity,бра'тству,1,FALSE,dat,sg,бр,бр,11,0
братство,2282,fraternity,бра'тствам,1,FALSE,dat,pl,бр,бр,1,0
бревно,4240,log,бревну',2,FALSE,dat,sg,бр,бр,31,0
бревно,4240,log,брёвнам,1,FALSE,dat,pl,бр,бр,23,0
брезгливость,653,fastidiousness,брезгли'вости,2,FALSE,dat,sg,бр,бр,0,0
брезгливость,653,fastidiousness,брезгли'востям,2,FALSE,dat,pl,бр,бр,0,0
брезент,916,tarpaulin,брезе'нту,2,FALSE,dat,sg,бр,бр,4,0
брезент,916,tarpaulin,брезе'нтам,2,FALSE,dat,pl,бр,бр,0,0
бремя,2349,burden,бре'мени,1,FALSE,dat,sg,бр,бр,3,1
бремя,2349,burden,бремена'м,3,FALSE,dat,pl,бр,бр,0,0
бригадир,2686,foreman,бригади'ру,3,FALSE,dat,sg,бр,бр,34,0
бригадир,2686,foreman,бригади'рам,3,FALSE,dat,pl,бр,бр,0,0
бриллиант,1840,diamond,бриллиа'нту,3,FALSE,dat,sg,бр,бр,0,0
бриллиант,1840,diamond,бриллиа'нтам,3,FALSE,dat,pl,бр,бр,6,0
бросок,1110,throw,броску',2,FALSE,dat,sg,бр,бр,23,0
бросок,1110,throw,броска'м,2,FALSE,dat,pl,бр,бр,2,0
бруствер,585,parapet,бру'стверу,1,FALSE,dat,sg,бр,бр,18,0
бруствер,585,parapet,бруствера'м,3,FALSE,dat,pl,бр,бр,1,0
бруствер,585,parapet,бру'стверу,1,FALSE,dat,sg,бр,бр,18,0
бруствер,585,parapet,бру'стверам,1,FALSE,dat,pl,бр,бр,1,0
брюхо,2431,belly,брю'ху,1,FALSE,dat,sg,бр,бр,9,0
брюхо,2431,belly,брю'хам,1,FALSE,dat,pl,бр,бр,0,0
введение,6573,Introduction,введе'нию,2,FALSE,dat,sg,вв,вв,65,9
введение,6573,Introduction,введе'ниям,2,FALSE,dat,pl,вв,вв,0,0
ввод,1821,input,вво'ду,1,FALSE,dat,sg,вв,вв,17,1
ввод,1821,input,вво'дам,1,FALSE,dat,pl,вв,вв,0,0
вдохновение,2726,inspiration,вдохнове'нию,3,FALSE,dat,sg,вд,вд,8,1
вдохновение,2726,inspiration,вдохнове'ниям,3,FALSE,dat,pl,вд,вд,1,0
