"lemma","lemma_freq","gloss","form","stressed_syll","case","number","short_cluster","full_cluster","noep","ep"
"вбивание",10,"stop motion","вбива'нием",2,"inst","sg","вб","вб",489,53
"вбивание",10,"stop motion","вбива'ния",2,"gen","sg","вб","вб",79,10
"введение",6573,"Introduction","введе'ниями",2,"inst","pl","вв","вв",433,38
"введение",6573,"Introduction","введе'ний",2,"gen","pl","вв","вв",35,0
"ввинчивание",7,"screwing","вви'нчиванием",1,"inst","sg","вв","вв",127,0
"ввод",1821,"input","вво'дов",1,"gen","pl","вв","вв",512,11
"ввоз",804,"import","вво'зами",1,"inst","pl","вв","вв",11,0
"ввоз",804,"import","вво'за",1,"gen","sg","вв","вв",474,51
"ввоз",804,"import","вво'зов",1,"gen","pl","вв","вв",10,1
"вдевание",4,"threading","вдева'нием",2,"inst","sg","вд","вд",127,12
"вдовец",478,"widower","вдовца'ми",2,"inst","pl","вд","вд",253,78
"вдовец",478,"widower","вдовца'",2,"gen","sg","вд","вд",50,9
"вдовец",478,"widower","вдовцо'в",2,"gen","pl","вд","вд",12,1
"вдовство",116,"widowhood","вдовство'м",2,"inst","sg","вд","вд",150,80
"вдовство",116,"widowhood","вдовства'",2,"gen","sg","вд","вд",1,11
"вдох",1016,"inhalation","вдо'хами",1,"inst","pl","вд","вд",311,231
"вдох",1016,"inhalation","вдо'ха",1,"gen","sg","вд","вд",627,435
"вдох",1016,"inhalation","вдо'хов",1,"gen","pl","вд","вд",15,3
"вдохновение",2726,"inspiration","вдохнове'ниями",3,"inst","pl","вд","вд",64,1
"вдохновение",2726,"inspiration","вдохнове'ния",3,"gen","sg","вд","вд",442,13
"вдохновенность",23,"inspiration","вдохнове'нностью",3,"inst","sg","вд","вд",23,1
"вдохновитель",452,"mastermind","вдохнови'телем",3,"inst","sg","вд","вд",496,10
"вдохновитель",452,"mastermind","вдохнови'телями",3,"inst","pl","вд","вд",208,3
"вдохновитель",452,"mastermind","вдохнови'теля",3,"gen","sg","вд","вд",26,4
"вдохновитель",452,"mastermind","вдохнови'телей",3,"gen","pl","вд","вд",11,1
"вдохновлённость",1,"inspired by","вдохновлённостью",3,"inst","sg","вд","вд",32,0
"вдувание",33,"injection","вдува'нием",2,"inst","sg","вд","вд",792,21
"вдувание",33,"injection","вдува'ниями",2,"inst","pl","вд","вд",7,5
"вдувание",33,"injection","вдува'ния",2,"gen","sg","вд","вд",16,1
"вдумчивость",70,"thoughtfulness","вду'мчивостью",1,"inst","sg","вд","вд",579,28
"вдыхание",167,"inhalation","вдыха'ния",2,"gen","sg","вд","вд",125,2
"вжатие",0,"is pressed","вжа'тием",1,"inst","sg","вж","вж",13,10
"взаимность",672,"reciprocity","взаи'мностями",2,"inst","pl","вз","вз",4,21
"взаимность",672,"reciprocity","взаи'мности",2,"gen","sg","вз","вз",85,18
"взаимодействие",8159,"interaction","взаимоде'йствий",4,"gen","pl","вз","вз",108,6
"взаимодоверие",4,"trust","взаи`модове'рием",5,"inst","sg","вз","вз",17,1
"взаимозависимость",207,"interdependence","взаи`мозави'симостью",5,"inst","sg","вз","вз",623,193
"взаимозависимость",207,"interdependence","взаи`мозави'симостями",5,"inst","pl","вз","вз",43,13
"взаимозависимость",207,"interdependence","взаи`мозави'симости",5,"gen","sg","вз","вз",21,2
"взаимозаменяемость",56,"interchangeability","взаи`мозаменя'емостью",6,"inst","sg","вз","вз",780,232
"взаимозаменяемость",56,"interchangeability","взаи`мозаменя'емости",6,"gen","sg","вз","вз",11,1
"взаимоисключение",3,"mutex","взаи`моисключе'нием",6,"inst","sg","вз","вз",37,16
"взаимоисключение",3,"mutex","взаи`моисключе'ниями",6,"inst","pl","вз","вз",11,2
"взаимоисключение",3,"mutex","взаи`моисключе'ния",6,"gen","sg","вз","вз",13,0
"взаимоконтроль",18,"intercontrol","взаи`моконтро'лем",5,"inst","sg","вз","вз",39,21
"взаимообусловленность",28,"interdependence","взаи`мообусло'вленностью",6,"inst","sg","вз","вз",114,6
"взаимоотношение",3983,"relationship","взаимоотноше'ния",6,"gen","sg","вз","вз",605,38
"взаимоотношение",3983,"relationship","взаимоотноше'ний",6,"gen","pl","вз","вз",564,245
"взаимопомощь",347,"mutual aid","взаимопо'мощью",4,"inst","sg","вз","вз",494,219
"взаимопомощь",347,"mutual aid","взаимопо'мощи",4,"gen","sg","вз","вз",56,13
"взаимопонимание",826,"understanding","взаи`мопонима'ния",6,"gen","sg","вз","вз",190,58
"взаимопревращение",15,"interconversion","взаи`мопревраще'нием",6,"inst","sg","вз","вз",13,4
"взаимопревращение",15,"interconversion","взаи`мопревраще'ниями",6,"inst","pl","вз","вз",22,8
"взаимосвязь",1292,"interconnection","взаимосвя'зью",4,"inst","sg","вз","вз",829,379
"взаимосвязь",1292,"interconnection","взаимосвя'зями",4,"inst","pl","вз","вз",647,300
"взаимосвязь",1292,"interconnection","взаимосвя'зи",4,"gen","sg","вз","вз",130,22
"взаимосвязь",1292,"interconnection","взаимосвя'зей",4,"gen","pl","вз","вз",23,1
"взаимоуважение",30,"Mutual Respect","взаи`моуваже'нием",6,"inst","sg","вз","вз",322,232
"взаимоуважение",30,"Mutual Respect","взаи`моуваже'ния",6,"gen","sg","вз","вз",66,32
"взбалмошность",18,"giddiness","взба'лмошностью",1,"inst","sg","вз","взб",172,20
"взбалтывание",65,"churning","взба'лтыванием",1,"inst","sg","вз","взб",34,202
"взбивание",16,"whipping","взбива'нием",2,"inst","sg","вз","взб",200,199
"взбивание",16,"whipping","взбива'ния",2,"gen","sg","вз","взб",29,20
"взброс",6,"uplift","взбро'сом",1,"inst","sg","вз","взбр",18,22
"взброс",6,"uplift","взбро'сами",1,"inst","pl","вз","взбр",9,17
"взвар",39,"stewed fruit","взва'ром",1,"inst","sg","вз","взв",118,146
"взвар",39,"stewed fruit","взва'рами",1,"inst","pl","вз","взв",1,11
"взведение",27,"arming","взведе'нием",2,"inst","sg","вз","взв",436,68
"взведение",27,"arming","взведе'ния",2,"gen","sg","вз","взв",11,6
"взвесь",166,"suspension","взве'сями",1,"inst","pl","вз","взв",177,440
"взвесь",166,"suspension","взве'си",1,"gen","sg","вз","взв",13,10
"взвешивание",250,"weighing","взве'шиваниями",1,"inst","pl","вз","взв",26,128
"взвешивание",250,"weighing","взве'шивания",1,"gen","sg","вз","взв",263,327
"взвешивание",250,"weighing","взве'шиваний",1,"gen","pl","вз","взв",20,21
"взвизг",135,"shriek","взви'згом",1,"inst","sg","вз","взв",134,116
"взвизг",135,"shriek","взви'згами",1,"inst","pl","вз","взв",146,141
"взвинченность",44,"overexcitement","взви'нченностью",1,"inst","sg","вз","взв",9,140
"взвинчивание",17,"Inflation","взви'нчиванием",1,"inst","sg","вз","взв",210,89
"взвинчивание",17,"Inflation","взви'нчивания",1,"gen","sg","вз","взв",12,2
"взвод",4308,"platoon","взво'дами",1,"inst","pl","вз","взв",219,346
"взвод",4308,"platoon","взво'дов",1,"gen","pl","вз","взв",12,32
"взводный",589,"platoon commander","взво'дным",1,"inst","sg","вз","взв",213,619
"взводный",589,"platoon commander","взво'дными",1,"inst","pl","вз","взв",108,213
"взводный",589,"platoon commander","взво'дного",1,"gen","sg","вз","взв",41,64
"взводный",589,"platoon commander","взво'дных",1,"gen","pl","вз","взв",18,21
"взвоз",45,"vzvoz","взво'зом",1,"inst","sg","вз","взв",12,40
"взвоз",45,"vzvoz","взво'за",1,"gen","sg","вз","взв",7,403
"взволнованность",95,"emotion","взволно'ванностью",2,"inst","sg","вз","взв",193,13
"взгляд",52915,"view","взгля'дов",1,"gen","pl","вз","взгл",192,382
"взгорок",123,"vzgorok","взго'рка",1,"gen","sg","вз","взг",35,275
"взгорок",123,"vzgorok","взго'рков",1,"gen","pl","вз","взг",4,13
"взгорье",188,"hill","взго'рьем",1,"inst","sg","вз","взг",1,12
