lemma,lemma_freq,gloss,form,stressed_syll,monosyll,case,number,short_cluster,full_cluster,noep,ep
благо,11163,good,бла'го,1,FALSE,acc,sg,бл,бл,17,258
благо,11163,good,бла'ге,1,FALSE,prep,sg,бл,бл,25,4
благодарность,6900,thanks,благода'рность,3,FALSE,acc,sg,бл,бл,376,0
благодарность,6900,thanks,благода'рности,3,FALSE,acc,pl,бл,бл,26,0
благодарность,6900,thanks,благода'рности,3,FALSE,prep,sg,бл,бл,26,0
благодарность,6900,thanks,благода'рностях,3,FALSE,prep,pl,бл,бл,40,0
благодать,3261,grace,благода'ти,3,FALSE,acc,pl,бл,бл,29,3
благодать,3261,grace,благода'ти,3,FALSE,prep,sg,бл,бл,29,3
благополучие,3377,well-being,благополу'чии,4,FALSE,prep,sg,бл,бл,48,1
благородный,10215,noble,благоро'дных,3,FALSE,acc,pl,бл,бл,31,0
благородный,10215,noble,благоро'дном,3,FALSE,prep,sg,бл,бл,165,0
благородный,10215,noble,благоро'дных,3,FALSE,prep,pl,бл,бл,31,0
благородство,1899,nobility,благоро'дство,3,FALSE,acc,sg,бл,бл,21,0
благородство,1899,nobility,благоро'дстве,3,FALSE,prep,sg,бл,бл,30,0
блаженство,2936,bliss,блаже'нстве,2,FALSE,prep,sg,бл,бл,65,1
ближний,7812,Middle,бли'жних,1,FALSE,acc,pl,бл,бл,56,0
ближний,7812,Middle,бли'жнем,1,FALSE,prep,sg,бл,бл,268,0
ближний,7812,Middle,бли'жних,1,FALSE,prep,pl,бл,бл,56,0
близость,4832,proximity,бли'зость,1,FALSE,acc,sg,бл,бл,30,0
близость,4832,proximity,бли'зости,1,FALSE,acc,pl,бл,бл,126,0
близость,4832,proximity,бли'зости,1,FALSE,prep,sg,бл,бл,126,0
блин,2776,pancake,бли'н,1,TRUE,acc,sg,бл,бл,11,20
блиндаж,1022,dugout,блинда'ж,2,FALSE,acc,sg,бл,бл,114,0
блиндаж,1022,dugout,блиндаже',3,FALSE,prep,sg,бл,бл,144,0
блиндаж,1022,dugout,блиндажа'х,3,FALSE,prep,pl,бл,бл,30,0
блок,10698,block,бло'к,1,TRUE,acc,sg,бл,бл,62,0
блок,10698,block,бло'ке,1,FALSE,prep,sg,бл,бл,140,0
блок,10698,block,бло'ках,1,FALSE,prep,pl,бл,бл,30,0
блокнот,1515,notebook,блокно'т,2,FALSE,acc,sg,бл,бл,157,0
блокнот,1515,notebook,блокно'те,2,FALSE,prep,sg,бл,бл,159,0
блюдечко,762,limpet,блю'дечко,1,FALSE,acc,sg,бл,бл,38,0
блюдечко,762,limpet,блю'дечке,1,FALSE,prep,sg,бл,бл,21,0
блюдо,5304,dish,блю'до,1,FALSE,acc,sg,бл,бл,24,0
блюдце,780,saucer,блю'дце,1,FALSE,acc,sg,бл,бл,63,0
блюдце,780,saucer,блю'дце,1,FALSE,prep,sg,бл,бл,63,0
брак,9704,marriage,бра'к,1,TRUE,acc,sg,бр,бр,570,1
брак,9704,marriage,бра'ке,1,FALSE,prep,sg,бр,бр,483,1
брат,51519,brother,бра'та,1,FALSE,acc,sg,бр,бр,22,0
брат,51519,brother,бра'те,1,FALSE,prep,sg,бр,бр,21,0
брат,51519,brother,бра'тьях,1,FALSE,prep,pl,бр,бр,79,0
братство,2282,fraternity,бра'тство,1,FALSE,acc,sg,бр,бр,48,0
братство,2282,fraternity,бра'тстве,1,FALSE,prep,sg,бр,бр,44,0
бревно,4240,log,бревно',2,FALSE,acc,sg,бр,бр,28,0
брезент,916,tarpaulin,брезе'нт,2,FALSE,acc,sg,бр,бр,25,0
бриллиант,1840,diamond,бриллиа'нтах,3,FALSE,prep,pl,бр,бр,46,0
брюхо,2431,belly,брю'хо,1,FALSE,acc,sg,бр,бр,112,0
брюхо,2431,belly,брю'хе,1,FALSE,prep,sg,бр,бр,110,0
введение,6573,Introduction,введе'нии,2,FALSE,prep,sg,вв,вв,31,76
взаимодействие,8159,interaction,взаимоде'йствие,4,FALSE,acc,sg,вз,вз,2,56
взаимодействие,8159,interaction,взаимоде'йствии,4,FALSE,prep,sg,вз,вз,3,355
взаимоотношение,3983,relationship,взаимоотноше'ниях,6,FALSE,prep,pl,вз,вз,0,242
взвод,4308,platoon,взво'д,1,TRUE,acc,sg,вз,взв,2,46
взвод,4308,platoon,взво'де,1,FALSE,prep,sg,вз,взв,1,139
взгляд,52915,view,взгля'де,1,FALSE,prep,sg,вз,взгл,2,451
