"cluster","stress","rime","s_better","subject","word"
"vd","initial","In",FALSE,"120","vdIn"
"shr","final","uk",FALSE,"120","shruk"
"vn","final","un",TRUE,"120","vnun"
"xs","final","up",TRUE,"120","xsup"
"rd","final","ig",FALSE,"120","rdig"
"xr","final","um",TRUE,"120","xrum"
"rn","initial","Ix",TRUE,"120","rnIx"
"fs","initial","Um",TRUE,"120","fsUm"
"sht","initial","Up",FALSE,"120","shtUp"
"vz","final","ub",TRUE,"120","vzub"
"k","final","iz",TRUE,"120","kiz"
"ms","initial","Iz",FALSE,"120","msIz"
"vn","final","ib",TRUE,"120","vnib"
"vz","initial","Up",FALSE,"120","vzUp"
"k","initial","Iv",TRUE,"120","kIv"
"xs","initial","Ix",TRUE,"120","xsIx"
"vd","final","iz",TRUE,"120","vdiz"
"sht","initial","Ib",FALSE,"120","shtIb"
"ms","initial","Ub",FALSE,"120","msUb"
"rn","initial","Uf",TRUE,"120","rnUf"
"xr","initial","Ig",TRUE,"120","xrIg"
"fs","final","ig",TRUE,"120","fsig"
"rd","initial","Un",FALSE,"120","rdUn"
"shr","final","ib",FALSE,"120","shrib"
"vn","initial","Id",TRUE,"120","vnId"
"fs","final","un",FALSE,"120","fsun"
"ms","final","ix",TRUE,"120","msix"
"rn","final","ug",TRUE,"120","rnug"
"xs","initial","Uk",FALSE,"120","xsUk"
"k","final","up",FALSE,"120","kup"
"sht","final","un",FALSE,"120","shtun"
"xr","initial","Ub",TRUE,"120","xrUb"
"vd","final","uk",FALSE,"120","vduk"
"shr","initial","Iv",TRUE,"120","shrIv"
"vz","final","in",FALSE,"120","vzin"
"rd","final","ug",TRUE,"120","rdug"
"shr","initial","Un",FALSE,"120","shrUn"
"vz","initial","Id",FALSE,"120","vzId"
"ms","final","uf",TRUE,"120","msuf"
"rd","initial","Iv",FALSE,"120","rdIv"
"vn","initial","Up",FALSE,"120","vnUp"
"vd","initial","Um",TRUE,"120","vdUm"
"rn","final","iv",TRUE,"120","rniv"
"k","initial","Uf",TRUE,"120","kUf"
"xs","final","in",TRUE,"120","xsin"
"fs","initial","In",TRUE,"120","fsIn"
"sht","final","in",FALSE,"120","shtin"
"xr","final","iv",TRUE,"120","xriv"
"vz","final","uk",TRUE,"121","vzuk"
"sht","final","ug",TRUE,"121","shtug"
"ms","initial","Ig",FALSE,"121","msIg"
"shr","final","um",FALSE,"121","shrum"
"vd","initial","Iv",FALSE,"121","vdIv"
"xs","final","un",TRUE,"121","xsun"
"k","final","un",TRUE,"121","kun"
"rd","final","ib",TRUE,"121","rdib"
"vn","initial","Ub",FALSE,"121","vnUb"
"xr","final","un",TRUE,"121","xrun"
"fs","final","up",TRUE,"121","fsup"
"rn","initial","Ub",FALSE,"121","rnUb"
"vz","initial","Un",FALSE,"121","vzUn"
"xr","initial","Id",TRUE,"121","xrId"
"k","initial","Ug",TRUE,"121","kUg"
"fs","final","ix",TRUE,"121","fsix"
"sht","final","iz",FALSE,"121","shtiz"
"ms","initial","Up",FALSE,"121","msUp"
"xs","initial","Iz",FALSE,"121","xsIz"
"rd","initial","Uk",FALSE,"121","rdUk"
"shr","initial","Up",FALSE,"121","shrUp"
"rn","final","ig",TRUE,"121","rnig"
